307,데이앤졸리,데이앤졸리 울트라슬림 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAyMjhfMTQ2/MDAxNjE0NDkyMzg1MDM0.HDLtCXbc5HhMTp1upjKA-O6xfJ6FZ-ptt_vIHPV26dIg.Oskrf3euUXFSsVX5T-wfIsnaAKRjf3CmfQd-3uLXSsog.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '0.728', ['눈 자극', '어지럼증', '졸음']]","['이소옥탄', 'Iso-Octane', '0.317', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.317', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '16.912', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['p-시멘', 'p-Cymene', '19.319', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.108', ['']]","['노나날', 'Nonanal', '1.425', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.331', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '16.343', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '5.767', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '7.093', ['']]","['트리데칸', 'Tridecanen', '2.122', ['']]","['테트라데칸', 'Tetradecanen', '9.404', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.317', ['']]","['n-헥사데칸', 'n-Hexadecane', '9.374', ['']]","['아세톤', 'acetone', '1.33', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['헵탄', 'Heptane', '40.83', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.33', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,
308,레이디문,레이디문 중형,https://post-phinf.pstatic.net/MjAyMTAyMjhfMTg0/MDAxNjE0NDM5NTE2MTk2.7RERXdbXO6ic_n2a6LHuUPKvIiq-UW0mBeXBHrq5Pnkg.FfDnY6EdB76mArTTRjasz2a1IA87wZrKZeCD7ydhHzAg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '1.484', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.883', ['눈 자극', '어지럼증', '졸음']]","['에틸아세테이트', 'Ethyl Acetate', '0.691', ['눈 자극', '어지럼증', '졸음']]","['클로로벤젠', 'Chlorobenzene', '0.189', ['피부 자극', '눈 자극', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.821', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.347', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['p-시멘', 'p-Cymene', '0.221', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.221', ['']]","['노나날', 'Nonanal', '2.714', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.237', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.758', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.189', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '4.83', ['']]","['트리데칸', 'Tridecanen', '0.852', ['']]","['테트라데칸', 'Tetradecanen', '10.357', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.8', ['']]","['n-헥사데칸', 'n-Hexadecane', '15.44', ['']]","['에탄올', 'ethanol', '6.81', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '122.57', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.24', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,
309,젬무브미,젬무브미 특대형,https://post-phinf.pstatic.net/MjAyMTAzMDhfMTM4/MDAxNjE1MjA4OTA4MTYz.9XwQDQG0dFEaqfTUdQkdtqVjsAvWMOdtj9_t-JhZxBIg.D9H-BQsv5zpwJU3aIPS7nzhmyQRCgHE7QmNMMt9es8kg.PNG/image.png?type=w1200,"['스티에렌', 'Styrene', '0.323', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.701', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.12', ['눈 자극', '어지럼증', '졸음']]","['데칸', 'decane', '0.742', ['']]","['운데칸', 'Undecane', '1.436', ['']]","['노나날', 'Nonanal', '7.857', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '16.386', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '10.108', ['']]","['트리데칸', 'Tridecanen', '7.094', ['']]","['테트라데칸', 'Tetradecanen', '17.97', ['']]","['n-펜타데칸', 'n-Pentadecane', '9.328', ['']]","['n-헥사데칸', 'n-Hexadecane', '16.147', ['']]","['에탄올', 'ethanol', '4.62', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['1-프로판올', '1-propanol', '1.39', ['눈 자극', '어지럼증', '졸음']]","['헵탄', 'Heptane', '89.72', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '2.76', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,
310,클라우드나인,클라우드나인 네이처 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAyMjdfMTc0/MDAxNjE0NDM3NjA3Njk0.r2E4BxtoKn0dasa-fN-JrNqe5uhvkI9vNHBaExgFB8Eg.B8gutx0PCeNorOR29UOpw_FEL8A7K_3z3ugdnkSBKL8g.PNG/image.png?type=w1200,"['스티에렌', 'Styrene', '0.204', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.373', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.476', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['이소옥탄', 'Iso-Octane', '0.476', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.972', ['']]","['운데칸', 'Undecane', '0.849', ['']]","['노나날', 'Nonanal', '1.426', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.325', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '5.368', ['']]","['트리데칸', 'Tridecanen', '2.242', ['']]","['테트라데칸', 'Tetradecanen', '8.971', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.535', ['']]","['n-헥사데칸', 'n-Hexadecane', '9.622', ['']]","['헵탄', 'Heptane', '63.95', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.36', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,,
311,리얼,리얼 울트라슬림 허브랑 목화랑 만나 해피한날 대형 날개형,https://post-phinf.pstatic.net/MjAyMTAyMjdfMTUy/MDAxNjE0NDM2NzI2ODMw.7BUHLM2jgh9V4BvNsFdJYG3y5LHiPAM8Q-Gj12qWAZAg.6ofgK162UGPlPixnzy4AbQM8ZIpGc31CwEjqom_Jyggg.PNG/image.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '0.26', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스티에렌', 'Styrene', '0.26', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.434', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.778', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['이소옥탄', 'Iso-Octane', '1.385', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '7.285', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.694', ['']]","['노나날', 'Nonanal', '1.992', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '4.663', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '3.685', ['']]","['트리데칸', 'Tridecanen', '2.292', ['']]","['테트라데칸', 'Tetradecanen', '7.84', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.696', ['']]","['n-헥사데칸', 'n-Hexadecane', '10.611', ['']]","['에탄올', 'ethanol', '2.52', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '53.64', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '2.52', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,
312,젬무브미,젬무브미 중형,https://post-phinf.pstatic.net/MjAyMTAzMDhfMjMg/MDAxNjE1MjA5MDA0MjU1.Uuabi5ultbgyEctJnYpqOMSc93tmVw0_yTLM-7zLdugg.DWRSB1jEL6azvoSKaMZKjQf4jFE2cy5W81r8Nb7tkt4g.PNG/image.png?type=w1200,"['스티에렌', 'Styrene', '0.496', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.273', ['눈 자극', '어지럼증', '졸음']]","['에틸아세테이트', 'Ethyl Acetate', '0.342', ['눈 자극', '어지럼증', '졸음']]","['이소옥탄', 'Iso-Octane', '0.25', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['옥탄', 'octane', '0.217', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.155', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '1.335', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.371', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.121', ['']]","['노나날', 'Nonanal', '2.045', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.868', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '5.448', ['']]","['트리데칸', 'Tridecanen', '0.901', ['']]","['테트라데칸', 'Tetradecanen', '7', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.842', ['']]","['n-헥사데칸', 'n-Hexadecane', '8.167', ['']]","['에탄올', 'ethanol', '1.2', ['']]","['헵탄', 'Heptane', '60.84', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.2', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,
313,리얼,리얼 울트라슬림 허브랑 목화랑 만나 해피한 날 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAyMjdfODEg/MDAxNjE0NDM0OTI3MzQw.K8mpYWKxFBl4xy8AIb_HaXK1esALc3xoaSHEb1MZE5Eg.7LtMCYpYNMeas5V7cqoABOqn-El5zfAc-GGBpJs3G7og.PNG/image.png?type=w1200,"['스티에렌', 'Styrene', '0.512', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.288', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '2.47', ['']]","['운데칸', 'Undecane', '1.122', ['']]","['노나날', 'Nonanal', '1.09', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '2.82', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '7.501', ['']]","['트리데칸', 'Tridecanen', '1.827', ['']]","['테트라데칸', 'Tetradecanen', '13.398', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.732', ['']]","['n-헥사데칸', 'n-Hexadecane', '13.075', ['']]","['에탄올', 'ethanol', '1.37', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['헵탄', 'Heptane', '118.83', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,
314,한나패드,한나패드 소형,https://post-phinf.pstatic.net/MjAyMTAyMjdfNzEg/MDAxNjE0MzcxNjUwOTYw.NioUFrXFoKI0DFTZrQ9xj6p6w-Di-vv3Q4yjgUwK_eUg.f4BJAV9AQgD7lVUrIXOZ-Updsci2LqIkXro40X17vrcg.PNG/269_tmp_d2d0ac7ec9f665a3ddfe37df97b75cf55818view.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '1.039', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '1.662', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['p-, m-, o- 자일렌', 'xylene', '0.831', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['에틸아세테이트', 'Ethyl Acetate', '2.282', ['눈 자극', '어지럼증', '졸음']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '4.78', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '5.286', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '9.56', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.833', ['']]","['트리데칸', 'Tridecanen', '1.351', ['']]","['테트라데칸', 'Tetradecanen', '10.394', ['']]","['n-펜타데칸', 'n-Pentadecane', '12.687', ['']]","['n-헥사데칸', 'n-Hexadecane', '55.082', ['']]",,,,,,,,,,,,,,,,,,,,,,,
315,라본,라본 생리대 중형,https://post-phinf.pstatic.net/MjAyMTAyMjdfMjIx/MDAxNjE0MzcxNDg1NTE2.fpzUTfnTgH85binW9Lv2YOqGnv4-Ahp04DZdHLDTYzsg.hvF5DrOxIuXuJsoOnI_7443eg67iNopcTzthjxQ5n2kg.PNG/hg.PNG?type=w1200,"['스타이렌', 'Styrene', '0.487', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.762', ['눈 자극', '어지럼증', '졸음']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.637', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '3.785', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.75', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.412', ['']]","['트리데칸', 'Tridecanen', '0.412', ['']]","['테트라데칸', 'Tetradecanen', '2.211', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.099', ['']]","['n-헥사데칸', 'n-Hexadecane', '7.009', ['']]","['에탄올', 'ethanol', '1.48', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,
316,데이위드,데이위드 울트라슬림 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAyMjdfMjUg/MDAxNjE0MzcxMjQ5NzMy.sI_weUpkZRqm9MRJD0xCbMgIoVwsu4yOtAGbV56D8XEg.PNKS3zpvDUsiXrBiC_XqNQjc6WLYCPsj9csVOexk3Ucg.PNG/fgfg.PNG?type=w1200,"['2-프로판올', 'isopropyl alcohol', '0.637', ['눈 자극', '어지럼증', '졸음']]","['운데칸', 'Undecane', '0.268', ['']]","['노나날', 'Nonanal', '2.475', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '2.478', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '8.235', ['']]","['트리데칸', 'Tridecanen', '1.407', ['']]","['테트라데칸', 'Tetradecanen', '21.73', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.541', ['']]","['n-헥사데칸', 'n-Hexadecane', '24.442', ['']]","['헵탄', 'Heptane', '71.57', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,,,,
317,데이데이,데이데이 실크감촉 250 생리대,https://post-phinf.pstatic.net/MjAyMTAyMjdfNjEg/MDAxNjE0MzcwOTgwOTQ4._YncRODmZA3O3GsFRGtrYGjGE5qzGq4hhsgpU7RjGV0g.NRrzJ6XkzOzy64PSDvO91j4WglFXsd0Xa_RKEt3rbFEg.PNG/vb.PNG?type=w1200,"['스타이렌', 'Styrene', '0.434', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.275', ['눈 자극', '어지럼증', '졸음']]","['이소옥탄', 'Iso-octane', '0.19', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.38', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.732', ['']]","['노나날', 'Nonanal', '2.903', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.926', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.163', ['암 유발', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.136', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.631', ['']]","['트리데칸', 'Tridecanen', '3.283', ['']]","['테트라데칸', 'Tetradecanen', '11.935', ['']]","['n-펜타데칸', 'n-Pentadecane', '7.731', ['']]","['n-헥사데칸', 'n-Hexadecane', '31.631', ['']]","['에탄올', 'ethanol', '9.98', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.71', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['헵탄', 'Heptane', '31.36', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '2.56', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,
318,데이데이,데이데이 실크감촉 300 생리대,https://post-phinf.pstatic.net/MjAyMTAyMjdfMjI4/MDAxNjE0MzcwODA1OTM1.qruSe4LXRUd8feyLbJu_pRzN1UTj8X24XJFuu7XSGEcg.YgTiODC8W-DNOOQF4eo3slufVXtvBEGUtqpQU9hPRfog.PNG/vbv.PNG?type=w1200,"['2-프로판올', 'isopropyl alcohol', '1.497', ['눈 자극', '어지럼증', '졸음']]","['이소옥탄', 'Iso-Octane', '0.136', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.204', ['']]","['운데칸', 'Undecane', '0.816', ['']]","['노나날', 'Nonanal', '2.818', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.664', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.169', ['암 유발', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.958', ['']]","['트리데칸', 'Tridecanen', '2.654', ['']]","['테트라데칸', 'Tetradecanen', '14.321', ['']]","['n-펜타데칸', 'n-Pentadecane', '14.52', ['']]","['n-헥사데칸', 'n-Hexadecane', '55.424', ['']]","['에탄올', 'ethanol', '10.6', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.93', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['헵탄', 'Heptane', '38.84', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '2.89', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,
319,데이데이,데이데이 울트라슬림 중형,https://post-phinf.pstatic.net/MjAyMTAyMjdfOTYg/MDAxNjE0MzcwNDgyNjI2.XB2XqrP-pVYUJYHWLc58_L3SSS5H8ZSsHEuWK4I_pZgg.fAzXS6vUd_l2u2Jm4KUzemoIcA7NzzcVHMGLbMvqv1kg.PNG/fggg.PNG?type=w1200,"['스타이렌', 'Styrene', '0.234', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.312', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['p-, m-, o- 자일렌', 'xylene', '0.208', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.676', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.208', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.831', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.143', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['p-시멘', 'p-Cymene', '1.299', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.065', ['']]","['노나날', 'Nonanal', '2.052', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '1.95', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.26', ['암 유발', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.208', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['(-)-베타-피넨', '(-)-beta-Pinene', '0.156', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '3.246', ['']]","['트리데칸', 'Tridecanen', '1.818', ['']]","['테트라데칸', 'Tetradecanen', '12.155', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.219', ['']]","['n-헥사데칸', 'n-Hexadecane', '27.298', ['']]","['헵탄', 'Heptane', '52.88', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '0.52', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,
320,데이데이,데이데이 오버나이트 롱,https://post-phinf.pstatic.net/MjAyMTAyMjdfMTMx/MDAxNjE0MzcwMjE5NzQ3.CudgEqoGV6oW-GyY11Fefk1s6n-bwMqaKcpedq-6W8og.mzO_cqnx1ZaWbksHXsMmgU1_SSq94MGrja-Er1A-rU8g.PNG/bnb.PNG?type=w1200,"['톨루엔', 'Toluene', '0.419', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['p-, m-, o- 자일렌', 'xylene', '0.239', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.078', ['눈 자극', '어지럼증', '졸음']]","['데칸', 'decane', '0.898', ['']]","['운데칸', 'Undecane', '1.137', ['']]","['노나날', 'Nonanal', '6.044', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '3.591', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.239', ['암 유발', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '6.343', ['']]","['트리데칸', 'Tridecanen', '2.873', ['']]","['테트라데칸', 'Tetradecanen', '27.23', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.77', ['']]","['n-헥사데칸', 'n-Hexadecane', '56.312', ['']]","['헵탄', 'Heptane', '32.83', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '1.74', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,,
